,WSM,TOPSIS,VIKOR,Average
0,0.6056,0.139,0.4922,0.44752317481891374
1,0.6519,0.1578,0.4317,0.4308682153512835
2,0.5322,0.1229,0.5907,0.4854296406277639
3,0.6706,0.1728,0.3408,0.3961958404627691
4,0.6125,0.1545,0.5518,0.48418379258294053
5,0.5626,0.1428,0.5946,0.49618130154208756
6,0.6237,0.1333,0.5721,0.49676977565065294
7,0.5181,0.1246,0.6203,0.5007285841651143
8,0.6664,0.1848,0.2832,0.37304721417000286
9,0.6624,0.1893,0.3127,0.3839215336497811
10,0.6045,0.1469,0.4687,0.43519855008949654
11,0.583,0.1468,0.4421,0.4149326174211905
12,0.6411,0.1788,0.294,0.3674379866045426
13,0.5355,0.1228,0.5889,0.4850542309886597
14,0.5778,0.1555,0.4148,0.4000676980212224
15,0.6197,0.1906,0.4565,0.4380642087639665
16,0.4938,0.1267,0.6472,0.512852293550492
17,0.6281,0.1294,0.5614,0.49143688302771904
18,0.6003,0.1318,0.4904,0.4444428759694546
19,0.6085,0.1509,0.5756,0.49653134140756916
20,0.57,0.2283,0.3538,0.37842236588235634
21,0.5697,0.1876,0.5815,0.49451073901382564
22,0.6316,0.1655,0.3363,0.38019683323247183
23,0.6168,0.1455,0.4296,0.4179923480160851
24,0.643,0.1491,0.5298,0.47927347412515964
25,0.5123,0.1034,0.6029,0.48728013606138304
26,0.6082,0.1324,0.5864,0.5011714836261137
27,0.6453,0.152,0.428,0.4263867000740056
28,0.5156,0.1062,0.6107,0.4929801710008223
29,0.5265,0.1191,0.6536,0.522773730212221
30,0.6555,0.1686,0.348,0.39372050746690856
31,0.5822,0.1337,0.6009,0.5036809307488224
32,0.6458,0.1351,0.4486,0.4353252933152403
33,0.582,0.2009,0.4317,0.4159753454232594
34,0.6594,0.171,0.4277,0.43266339919156555
35,0.6456,0.1451,0.4541,0.4390666008705285
36,0.6616,0.1497,0.3928,0.41401915293860503
37,0.3796,0.0687,0.7756,0.5753371350782078
38,0.4734,0.2188,0.4748,0.41460953196953876
39,0.3313,0.1616,0.8096,0.5979233947588938
40,0.6758,0.1874,0.2623,0.369157691237769
41,0.5282,0.1046,0.5984,0.4879781511502334
42,0.4955,0.108,0.6701,0.5264221262447087
43,0.6311,0.1558,0.4169,0.4169440478049783
44,0.5459,0.1453,0.6101,0.50204182495087
45,0.3363,0.1559,0.7972,0.5896396365577877
46,0.5796,0.1228,0.5804,0.49004414495022797
47,0.5475,0.1279,0.5615,0.47169894848303406
48,0.6458,0.1497,0.4922,0.45963569813494687
49,0.5103,0.1274,0.549,0.45568733359618413
50,0.5304,0.1215,0.6028,0.49231842033383233
51,0.6987,0.1864,0.3364,0.40576139047474685
52,0.5988,0.1325,0.537,0.4702804089051552
53,0.5674,0.1191,0.6253,0.5139494527674876
54,0.6159,0.1319,0.472,0.43872297067739685
55,0.6206,0.1371,0.4648,0.4366775870135769
56,0.5293,0.1111,0.5488,0.45861245185886523
57,0.6428,0.1352,0.4422,0.4311525252158452
58,0.4265,0.0761,0.7002,0.5322197224831113
59,0.6031,0.1339,0.5486,0.47812724770713494
60,0.6091,0.1387,0.4901,0.44729282802209114
61,0.2993,0.0843,0.8351,0.607242990902324
62,0.628,0.1555,0.3817,0.39872085473423635
63,0.6085,0.1588,0.373,0.3888241016192283
64,0.6689,0.1604,0.3503,0.3981945943882212
65,0.5798,0.141,0.5939,0.49955631614463647
66,0.5265,0.1176,0.6452,0.5174271910133831
67,0.5588,0.1242,0.517,0.4480219637473145
68,0.6468,0.1339,0.5564,0.49380086168414083
69,0.6268,0.1348,0.5683,0.4954890563877269
70,0.6709,0.1582,0.3598,0.4028120579128684
71,0.6268,0.1303,0.4744,0.44294102880631864
72,0.6267,0.1485,0.4668,0.4405875315984328
73,0.6789,0.2003,0.2374,0.36386322842518726
74,0.5699,0.252,0.3421,0.37752431312433377
75,0.6026,0.1342,0.5879,0.5008407421526329
76,0.5752,0.1295,0.5835,0.4913636209570261
77,0.5602,0.1306,0.5619,0.47512895196988364
78,0.6964,0.1781,0.2771,0.38066084642368986
79,0.613,0.1512,0.3878,0.39649294066855717
80,0.6301,0.1363,0.5641,0.4940474815237904
81,0.5429,0.1322,0.5159,0.4441481048028912
82,0.7576,0.2639,0.1391,0.3812596490582239
83,0.5766,0.1335,0.4663,0.4249212068136868
84,0.5468,0.2498,0.2503,0.3314258665222134
85,0.5757,0.1321,0.4878,0.43645806327756165
86,0.5338,0.2328,0.5322,0.4635360395913138
87,0.6879,0.1671,0.3389,0.4005553769455604
88,0.5236,0.1097,0.6304,0.5070933829187677
89,0.5805,0.1314,0.5666,0.48279769883461543
90,0.7026,0.2386,0.2006,0.36868485187216465
91,0.6318,0.1523,0.5069,0.4639683609902727
92,0.5175,0.1012,0.6459,0.5150020262096063
93,0.5788,0.1231,0.5513,0.4727724780483737
94,0.5338,0.1208,0.6118,0.49851369088521535
95,0.3928,0.0968,0.7197,0.5409745696426035
96,0.6824,0.1646,0.3404,0.39899621552089937
97,0.695,0.2237,0.1655,0.3539952429058899
98,0.5199,0.1061,0.6078,0.4920841239056591
99,0.4396,0.0806,0.6702,0.5149587944680623
100,0.5099,0.1333,0.5047,0.42975727335322667
101,0.5615,0.1091,0.6199,0.508689785625778
102,0.6792,0.1522,0.3809,0.4144326061014022
103,0.506,0.1148,0.632,0.5048493953645978
104,0.5511,0.1104,0.6212,0.5072902620788221
105,0.6366,0.14,0.4323,0.42470408168511875
106,0.669,0.2022,0.3047,0.384965838744167
107,0.5497,0.1072,0.6228,0.5077612529526057
108,0.3619,0.0657,0.7578,0.5609096977232609
109,0.4505,0.1403,0.6745,0.5234218203323205
110,0.6128,0.1284,0.5053,0.4557573707577311
111,0.55,0.1301,0.5235,0.45011546074312975
112,0.5852,0.1295,0.4923,0.4412510940496352
113,0.6466,0.1831,0.2611,0.35743894583550906
114,0.6658,0.1494,0.3966,0.4171328517391072
115,0.6306,0.1331,0.5209,0.46958956547180647
116,0.6166,0.1421,0.4678,0.4376245594113749
117,0.6212,0.1262,0.5755,0.4975499422168593
118,0.5395,0.111,0.5717,0.4746881028633433
119,0.536,0.1226,0.5917,0.4868499491629839
120,0.6493,0.1362,0.5371,0.4838609666009442
121,0.6893,0.2007,0.218,0.3617637972489785
122,0.5136,0.098,0.6249,0.5008874095043715
123,0.6045,0.1343,0.5926,0.5040658458971408
124,0.6489,0.1515,0.4118,0.4193918656817273
125,0.4667,0.112,0.7095,0.5468273063774339
126,0.6118,0.1438,0.4554,0.4298348054776393
127,0.4729,0.3874,0.6632,0.5564778791650212
128,0.5007,0.1059,0.6694,0.5268327258248106
129,0.3817,0.0703,0.7735,0.5742584174393963
130,0.6235,0.149,0.5459,0.48312954266945846
131,0.5371,0.1045,0.5472,0.45900465901774895
132,0.673,0.2017,0.2425,0.36358464213990116
133,0.7158,0.1712,0.2918,0.3922249099687576
134,0.575,0.6514,0.5423,0.5834948440217789
135,0.6005,0.146,0.5371,0.47196721814126036
136,0.5653,0.1123,0.6,0.49769087293218467
137,0.6225,0.142,0.435,0.4220935322887571
138,0.4143,0.089,0.7441,0.5599532150099685
139,0.6691,0.2068,0.2556,0.3674704260209249
140,0.6157,0.1241,0.5345,0.4725279526123296
141,0.585,0.1394,0.5037,0.44847692582785126
142,0.5447,0.1118,0.5999,0.4929801162318821
143,0.6512,0.1327,0.5389,0.48507904510502203
144,0.6752,0.1595,0.4164,0.4307035674335656
145,0.4043,0.091,0.7548,0.5657185855175699
146,0.6916,0.177,0.3603,0.4122727943971079
147,0.4346,0.0733,0.6882,0.5255444025008734
148,0.5743,0.1285,0.5998,0.5007971575398567
149,0.5194,0.1184,0.6726,0.5332506165022222
150,0.638,0.1732,0.3476,0.38835699040959726
151,0.7351,0.2285,0.193,0.37730965664822314
152,0.5638,0.1309,0.6275,0.5153568239579253
153,0.5831,0.131,0.5477,0.4723738635868839
154,0.6579,0.1851,0.2855,0.3709450228807498
155,0.5954,0.157,0.445,0.42107889047065755
156,0.6569,0.1985,0.3031,0.37955105321945826
157,0.5437,0.1118,0.5973,0.49117751882593325
158,0.4447,0.0834,0.6874,0.5271600003793915
159,0.5718,0.2521,0.3388,0.37662991251359734
160,0.6513,0.1769,0.4401,0.4371160326503708
161,0.5951,0.1393,0.5822,0.496113463836651
162,0.6615,0.1897,0.2872,0.37356953435739376
163,0.68,0.1902,0.3858,0.4216083870133515
164,0.5043,0.1027,0.659,0.5207383075979719
165,0.5306,0.1202,0.6174,0.5012315472912694
166,0.5537,0.1247,0.4973,0.4354714801224071
167,0.4291,0.1176,0.686,0.5256161051566057
168,0.6265,0.1549,0.5576,0.4910779296608635
169,0.7117,0.2287,0.1762,0.36402981333951206
170,0.6047,0.1529,0.3808,0.39070482592361205
171,0.5521,0.1212,0.5306,0.4540241116945222
172,0.6566,0.1865,0.4093,0.42476185327781024
173,0.6733,0.1869,0.2605,0.36752712280864386
174,0.4457,0.0892,0.6807,0.523252267075834
175,0.5665,0.1426,0.5138,0.4497555980752213
176,0.6197,0.1313,0.5821,0.5013957817931858
177,0.6037,0.1299,0.6047,0.5106701342353985
178,0.5964,0.1304,0.5989,0.5055496464245623
179,0.5384,0.1239,0.5732,0.47629759079802203
180,0.4809,0.1032,0.6803,0.529954789581149
181,0.6521,0.2272,0.2534,0.36419584566548807
182,0.5474,0.1158,0.6003,0.49409744889039847
183,0.5578,0.1958,0.3469,0.36592248496095453
184,0.6648,0.1918,0.2765,0.3710176613046878
185,0.6107,0.1345,0.5698,0.49229462012091907
186,0.5894,0.1419,0.4615,0.4266266283297376
187,0.6306,0.1514,0.4201,0.41791131236184553
188,0.6488,0.2172,0.3706,0.4086725094742733
189,0.7106,0.2052,0.1765,0.35944221927870407
190,0.5894,0.1791,0.5835,0.4993372006970841
191,0.6426,0.1368,0.5112,0.4678289687481954
