,WSM,TOPSIS,VIKOR,Average
0,0.6056,0.139,0.4922,0.45615457029388623
1,0.6519,0.1578,0.4317,0.5039319587007755
2,0.5322,0.1229,0.5907,0.38071240589190153
3,0.6706,0.1728,0.3408,0.5622909780531784
4,0.6125,0.1545,0.5518,0.4273569292757519
5,0.5626,0.1428,0.5946,0.3893531610247951
6,0.6237,0.1333,0.5721,0.4179476163348704
7,0.5181,0.1246,0.6203,0.36114971272313096
8,0.6664,0.1848,0.2832,0.5966273744976842
9,0.6624,0.1893,0.3127,0.5785289482817606
10,0.6045,0.1469,0.4687,0.4697848209552965
11,0.583,0.1468,0.4421,0.4796551646756241
12,0.6411,0.1788,0.294,0.5839611922037286
13,0.5355,0.1228,0.5889,0.38259326575359376
14,0.5778,0.1555,0.4148,0.49523142367987916
15,0.6197,0.1906,0.4565,0.4851806374949437
16,0.4938,0.1267,0.6472,0.34031966590251583
17,0.6281,0.1294,0.5614,0.42439393256737307
18,0.6003,0.1318,0.4904,0.4551147877184393
19,0.6085,0.1509,0.5756,0.4134529876539774
20,0.57,0.2283,0.3538,0.5379623471954147
21,0.5697,0.1876,0.5815,0.40378319801596496
22,0.6316,0.1655,0.3363,0.555202334289041
23,0.6168,0.1455,0.4296,0.49509352954770075
24,0.643,0.1491,0.5298,0.44710520350360494
25,0.5123,0.1034,0.6029,0.36679957878928926
26,0.6082,0.1324,0.5864,0.40592222900452246
27,0.6453,0.152,0.428,0.5037912444654036
28,0.5156,0.1062,0.6107,0.36377114921334813
29,0.5265,0.1191,0.6536,0.34596585525164186
30,0.6555,0.1686,0.348,0.5540900991716058
31,0.5822,0.1337,0.6009,0.3908893449558328
32,0.6458,0.1351,0.4486,0.49082391037927237
33,0.582,0.2009,0.4317,0.4912590843943753
34,0.6594,0.171,0.4277,0.5094090860987857
35,0.6456,0.1451,0.4541,0.48854833947113163
36,0.6616,0.1497,0.3928,0.5278369625177834
37,0.3796,0.0687,0.7756,0.2353992756998203
38,0.4734,0.2188,0.4748,0.44396065591446277
39,0.3313,0.1616,0.8096,0.21888898099264842
40,0.6758,0.1874,0.2623,0.6115369171194819
41,0.5282,0.1046,0.5984,0.37379496518813626
42,0.4955,0.108,0.6701,0.3271395038817538
43,0.6311,0.1558,0.4169,0.5068948007229902
44,0.5459,0.1453,0.6101,0.37675720829202464
45,0.3363,0.1559,0.7972,0.22466619905984966
46,0.5796,0.1228,0.5804,0.39967895115955254
47,0.5475,0.1279,0.5615,0.40124792585133695
48,0.6458,0.1497,0.4922,0.4680437746621571
49,0.5103,0.1274,0.549,0.39831011285178286
50,0.5304,0.1215,0.6028,0.3736006249994772
51,0.6987,0.1864,0.3364,0.5729243457909604
52,0.5988,0.1325,0.537,0.42914294005610765
53,0.5674,0.1191,0.6253,0.37261782029312557
54,0.6159,0.1319,0.472,0.46955068416519213
55,0.6206,0.1371,0.4648,0.4752760408436344
56,0.5293,0.1111,0.5488,0.4019022032783598
57,0.6428,0.1352,0.4422,0.49365220550504996
58,0.4265,0.0761,0.7002,0.2881975589764771
59,0.6031,0.1339,0.5486,0.4242707449259258
60,0.6091,0.1387,0.4901,0.45822578932225105
61,0.2993,0.0843,0.8351,0.18342314466827792
62,0.628,0.1555,0.3817,0.5265722362601356
63,0.6085,0.1588,0.373,0.527431684675845
64,0.6689,0.1604,0.3503,0.5552107122525646
65,0.5798,0.141,0.5939,0.3945332850343555
66,0.5265,0.1176,0.6452,0.35004413721700867
67,0.5588,0.1242,0.517,0.42863000361617243
68,0.6468,0.1339,0.5564,0.4329425955019903
69,0.6268,0.1348,0.5683,0.4209624745746347
70,0.6709,0.1582,0.3598,0.5499614113735618
71,0.6268,0.1303,0.4744,0.4709530284433895
72,0.6267,0.1485,0.4668,0.476778117157237
73,0.6789,0.2003,0.2374,0.6284874294685614
74,0.5699,0.252,0.3421,0.5481100318366742
75,0.6026,0.1342,0.5879,0.4036600661447699
76,0.5752,0.1295,0.5835,0.3974144033625354
77,0.5602,0.1306,0.5619,0.40478083082082833
78,0.6964,0.1781,0.2771,0.6064673775233091
79,0.613,0.1512,0.3878,0.5190439788688431
80,0.6301,0.1363,0.5641,0.4242439321899607
81,0.5429,0.1322,0.5159,0.42587267933033696
82,0.7576,0.2639,0.1391,0.7115187418473248
83,0.5766,0.1335,0.4663,0.4628801486346115
84,0.5468,0.2498,0.2503,0.5996191332837871
85,0.5757,0.1321,0.4878,0.4502173264102571
86,0.5338,0.2328,0.5322,0.4273940336504477
87,0.6879,0.1671,0.3389,0.5670490366802504
88,0.5236,0.1097,0.6304,0.3560108130380312
89,0.5805,0.1314,0.5666,0.4080362949542602
90,0.7026,0.2386,0.2006,0.6597943012788152
91,0.6318,0.1523,0.5069,0.4564719487547948
92,0.5175,0.1012,0.6459,0.3454375298082129
93,0.5788,0.1231,0.5513,0.41498652508244166
94,0.5338,0.1208,0.6118,0.3697511325202399
95,0.3928,0.0968,0.7197,0.2700990281359783
96,0.6824,0.1646,0.3404,0.5646219797351144
97,0.695,0.2237,0.1655,0.678094854721668
98,0.5199,0.1061,0.6078,0.36653347050440016
99,0.4396,0.0806,0.6702,0.30819240743405735
100,0.5099,0.1333,0.5047,0.4242538320392639
101,0.5615,0.1091,0.6199,0.37264634440713357
102,0.6792,0.1522,0.3809,0.5393091738511407
103,0.506,0.1148,0.632,0.35053232661196887
104,0.5511,0.1104,0.6212,0.3689761645418306
105,0.6366,0.14,0.4323,0.4980698314493661
106,0.669,0.2022,0.3047,0.5860876188762223
107,0.5497,0.1072,0.6228,0.3674527044396326
